2,3,45
2,4,45
2,5,45
2,6,45
2,7,45
2,8,45
2,9,55
3,2,124
3,3,70
3,4,45
3,5,45
3,6,45
3,7,45
3,8,55
3,9,124
4,2,124
4,3,124
4,8,124
4,9,124
5,2,124
5,3,124
5,8,124
5,9,124
6,2,124
6,3,76
6,4,45
6,5,55
6,6,70
6,7,45
6,8,74
6,9,124
7,2,124
7,5,124
7,6,124
7,9,124
8,2,76
8,3,45
8,4,45
8,5,74
8,6,76
8,7,45
8,8,45
8,9,74
1,1,46
1,2,46
1,3,46
1,4,46
1,5,46
1,6,46
1,7,46
1,8,46
1,9,46
1,10,46
2,1,46
2,10,46
3,1,46
3,10,46
4,1,46
4,4,46
4,5,46
4,6,46
4,7,46
4,10,46
5,1,46
5,4,46
5,5,46
5,6,46
5,7,46
5,10,46
6,1,46
6,10,46
7,1,46
7,3,46
7,4,46
7,7,46
7,8,46
7,10,46
8,1,46
8,10,46
9,1,46
9,2,46
9,3,46
9,4,46
9,5,46
9,6,46
9,7,46
9,8,46
9,9,46
9,10,46
2,2,70
3,2.5,63
3,1.5,63
3,9.5,63
3,8.5,63
4,2.5,63
4,1.5,63
4,3.5,63
4,2.5,63
4,8.5,63
4,7.5,63
4,9.5,63
4,8.5,63
5,2.5,63
5,1.5,63
5,3.5,63
5,2.5,63
5,8.5,63
5,7.5,63
5,9.5,63
5,8.5,63
6,2.5,63
6,1.5,63
6,9.5,63
6,8.5,63
7,2.5,63
7,1.5,63
7,5.5,63
7,4.5,63
7,6.5,63
7,5.5,63
7,9.5,63
7,8.5,63
2.5,3,63
1.5,3,63
2.5,4,63
1.5,4,63
2.5,5,63
1.5,5,63
2.5,6,63
1.5,6,63
2.5,7,63
1.5,7,63
2.5,8,63
1.5,8,63
3.5,4,63
2.5,4,63
3.5,5,63
2.5,5,63
3.5,6,63
2.5,6,63
3.5,7,63
2.5,7,63
6.5,4,63
5.5,4,63
6.5,7,63
5.5,7,63
8.5,3,63
7.5,3,63
8.5,4,63
7.5,4,63
8.5,7,63
7.5,7,63
8.5,8,63
7.5,8,63
6,8.5,63
6.5,8,63
5.5,7.5,63
8,5.5,63
8.5,5,63
7.5,4.5,63
8,9.5,63
8.5,9,63
7.5,8.5,63
2,9.5,63
1.5,9,63
2.5,8.5,63
3,8.5,63
2.5,8,63
3.5,7.5,63
6,5.5,63
5.5,5,63
6.5,4.5,63
6,2.5,63
6.5,3,63
5.5,3.5,63
8,1.5,63
8.5,2,63
7.5,2.5,63
8,5.5,63
8.5,6,63
7.5,6.5,63
3,2.5,63
2.5,3,63
3.5,3.5,63
6,5.5,63
5.5,6,63
6.5,6.5,63
2,1.5,63
1.5,2,63
2.5,2.5,63